mt,ks,0,0
non,0,55,0,8
non,0,55,34,256
non,0,46,0,152
non,0,58,89,16
non,0,62,82,0
non,0,55,69,16
non,0,58,0,0
non,0,46,48,24
non,0,52,0,336
non,0,55,0,16
non,0,62,0,32
non,0,58,0,8
non,0,46,0,24
non,0,58,84,24
non,0,65,80,0
non,0,52,56,16
non,0,62,75,0
non,0,52,73,8
non,0,55,0,0
non,0,55,71,0
non,0,46,56,16
non,0,67,0,8
non,0,69,93,0
non,0,70,0,16
non,0,58,0,200
non,0,62,0,8
non,0,52,0,8
non,0,55,0,16
non,0,46,0,8
non,0,58,94,24
non,0,55,87,8
non,0,62,85,0
non,0,46,42,8
non,0,52,91,8
non,0,52,0,64
non,0,58,0,0
non,0,62,0,0
non,0,55,0,8
non,0,46,0,8
non,0,46,49,48
non,0,64,55,4
non,0,69,0,0
non,0,52,0,12
non,0,67,91,0
non,0,65,0,8
non,0,55,66,8
non,0,52,82,280
non,0,55,78,0
non,0,58,89,8
non,0,62,83,0
non,0,46,0,104
non,0,46,44,56
non,0,55,0,8
non,0,52,57,8
non,0,46,0,240
non,0,46,48,96
non,0,52,0,64
non,0,46,0,8
non,0,55,0,0
non,0,62,0,0
non,0,58,0,8
non,0,48,67,64
non,0,58,82,0
non,0,62,80,0
non,0,46,67,8
non,0,52,74,0
non,0,55,71,0
non,0,52,0,16
non,0,46,0,192
non,0,59,74,60
non,0,64,0,8
non,0,46,48,4
non,0,62,87,32
non,0,46,0,48
non,0,67,0,16
non,0,55,0,40
non,0,62,0,0
non,0,58,0,8
non,0,52,0,16
non,0,46,68,16
non,0,67,79,0
non,0,57,65,16
non,0,53,83,8
non,0,59,0,0
non,0,50,67,8
non,0,59,75,0
non,0,60,54,0
non,0,62,78,0
non,0,71,95,20
non,0,48,0,4
non,0,62,0,4
non,0,59,0,100
non,0,59,31,8
non,0,60,0,64
non,0,59,0,80
non,0,57,0,24
non,0,62,0,0
non,0,53,0,16
non,0,53,83,24
non,0,57,90,0
non,0,59,85,8
non,0,62,88,0
non,0,46,0,16
non,0,57,0,40
non,0,59,0,0
non,0,62,0,8
non,0,53,0,8
non,0,46,59,24
non,0,55,68,0
non,0,50,0,24
non,0,46,0,80
non,0,50,74,384
non,0,55,0,0
non,0,46,54,24
non,0,46,0,224
non,0,46,29,80
non,0,46,0,80
non,0,50,0,56
non,0,47,73,8
non,0,46,67,32
non,0,57,83,288
non,0,62,80,0
non,0,53,87,8
non,0,60,77,8
non,0,46,0,120
non,0,43,69,48
non,0,46,53,0
non,0,47,0,0
non,0,46,0,344
non,0,43,0,88
non,0,60,0,0
non,0,53,0,8
non,0,57,0,0
non,0,62,0,8
non,0,43,59,40
non,0,46,58,16
non,0,57,90,16
non,0,60,83,0
non,0,62,81,0
non,0,53,81,8
non,0,47,56,120
non,0,43,0,16
non,0,46,0,136
non,0,50,41,8
non,0,47,0,24
non,0,57,0,88
non,0,60,0,8
non,0,62,0,0
non,0,53,0,24
non,0,67,0,16
non,0,67,94,0
non,0,71,0,0
non,0,46,64,8
non,0,62,74,0
non,0,62,77,8
non,0,53,77,8
non,0,55,73,0
non,0,50,0,8
non,0,55,73,0
non,0,57,76,0
non,0,59,87,0
non,0,55,0,112
non,0,57,0,152
non,0,59,0,0
non,0,53,0,8
non,0,62,0,0
non,0,57,93,40
non,0,53,80,8
non,0,59,100,0
non,0,62,87,0
non,0,57,0,56
non,0,62,0,0
non,0,53,0,16
non,0,59,0,0
non,0,44,77,56
non,0,46,0,0
non,0,44,0,72
non,0,55,0,200
non,0,53,77,8
non,0,46,35,56
non,0,46,0,64
non,0,46,61,80
non,0,46,0,280
non,0,52,57,0
non,0,53,0,16
non,0,46,42,24
non,0,46,0,64
non,0,53,61,48
non,0,50,56,32
non,0,46,67,8
non,0,52,0,8
non,0,57,92,264
